date,frequency,country_code,country_name,metric_code,metric_name_pt,display_name_pt,value,unit,theme,subcategory,metric_type,source,dataset,api_url,collected_at_utc,country_name_norm,country_code_norm,partner_type,partner_type_pt,is_country
2025,A,-,TOTAL FOR ALL COUNTRIES,imports_total,Importações totais,TOTAL FOR ALL COUNTRIES - Importações totais,3415747108487.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2025-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2025-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:45:39+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2015,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-745483001735.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2015-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2015-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:41:11+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2016,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-735326216894.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2016-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2016-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:41:37+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2017,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-792395927338.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2017-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2017-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:42:03+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2018,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-870358386722.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2018-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2018-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:42:29+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2019,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-845759229077.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2019-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2019-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:42:56+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2020,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-901481776803.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2020-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2020-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:43:23+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2021,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-1070771774477.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2021-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2021-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:43:49+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2022,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-1167084886921.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2022-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2022-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:44:16+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2023,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-1056317210808.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2023-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2023-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:44:44+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2024,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-1204719437720.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2024-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2024-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:45:12+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
2025,A,-,TOTAL FOR ALL COUNTRIES,trade_balance,Saldo comercial,TOTAL FOR ALL COUNTRIES - Saldo comercial,-1237258508761.0,usd_nominal,trade_country,country_annual,level,US Census International Trade API,intltrade_timeseries_hs,https://api.census.gov/data/timeseries/intltrade/exports/hs?get=CTY_CODE%2CCTY_NAME%2CALL_VAL_YR&time=2025-12&key=0501158393b205ca9d1df91baf0761f84814039b || https://api.census.gov/data/timeseries/intltrade/imports/hs?get=CTY_CODE%2CCTY_NAME%2CGEN_VAL_YR&time=2025-12&key=0501158393b205ca9d1df91baf0761f84814039b,2026-04-07T14:45:39+00:00,TOTAL FOR ALL COUNTRIES,-,total,total_geral,False
