country_name,country_name_norm,country_code
OMAN,OMAN,5230
PAKISTAN,PAKISTAN,5350
PALAU,PALAU,6830
PANAMA,PANAMA,2250
PAPUA NEW GUINEA,PAPUA NEW GUINEA,6040
PARAGUAY,PARAGUAY,3530
PERU,PERU,3330
PHILIPPINES,PHILIPPINES,5650
PITCAIRN ISLANDS,PITCAIRN ISLANDS,6225
POLAND,POLAND,4550
PORTUGAL,PORTUGAL,4710
QATAR,QATAR,5180
REUNION,REUNION,7904
ROMANIA,ROMANIA,4850
RUSSIA,RUSSIA,4621
RWANDA,RWANDA,7690
SAMOA,SAMOA,6150
SAN MARINO,SAN MARINO,4751
SAO TOME AND PRINCIPE,SAO TOME AND PRINCIPE,7644
SAUDI ARABIA,SAUDI ARABIA,5170
SENEGAL,SENEGAL,7440
SERBIA,SERBIA,4801
SEYCHELLES,SEYCHELLES,7800
SIERRA LEONE,SIERRA LEONE,7470
SINGAPORE,SINGAPORE,5590
SINT MAARTEN,SINT MAARTEN,2774
SLOVAKIA,SLOVAKIA,4359
SLOVENIA,SLOVENIA,4792
SOLOMON ISLANDS,SOLOMON ISLANDS,6223
SOMALIA,SOMALIA,7700
SOUTH AFRICA,SOUTH AFRICA,7910
SOUTH SUDAN,SOUTH SUDAN,7323
SPAIN,SPAIN,4700
SRI LANKA,SRI LANKA,5420
ST HELENA,ST HELENA,7580
ST KITTS AND NEVIS,ST KITTS AND NEVIS,2483
ST LUCIA,ST LUCIA,2487
ST PIERRE AND MIQUELON,ST PIERRE AND MIQUELON,1610
ST VINCENT AND THE GRENADINES,ST VINCENT AND THE GRENADINES,2488
SUDAN,SUDAN,7321
SURINAME,SURINAME,3150
"SVALBARD, JAN MAYEN ISLAND","SVALBARD, JAN MAYEN ISLAND",4031
SWEDEN,SWEDEN,4010
SWITZERLAND,SWITZERLAND,4419
SYRIA,SYRIA,5020
TAIWAN,TAIWAN,5830
TAJIKISTAN,TAJIKISTAN,4642
TANZANIA,TANZANIA,7830
THAILAND,THAILAND,5490
TIMOR-LESTE,TIMOR-LESTE,5601
TOGO,TOGO,7520
TOKELAU,TOKELAU,6143
TONGA,TONGA,6864
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,2740
TUNISIA,TUNISIA,7230
TURKEY,TURKEY,4890
TURKMENISTAN,TURKMENISTAN,4643
TURKS AND CAICOS ISLANDS,TURKS AND CAICOS ISLANDS,2430
TUVALU,TUVALU,6227
UGANDA,UGANDA,7780
UKRAINE,UKRAINE,4623
UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,5200
UNITED KINGDOM,UNITED KINGDOM,4120
URUGUAY,URUGUAY,3550
UZBEKISTAN,UZBEKISTAN,4644
VANUATU,VANUATU,6224
VATICAN CITY,VATICAN CITY,4752
VENEZUELA,VENEZUELA,3070
VIETNAM,VIETNAM,5520
WALLIS AND FUTUNA,WALLIS AND FUTUNA,6413
WEST BANK ADMINISTERED BY ISRAEL,WEST BANK ADMINISTERED BY ISRAEL,5083
WESTERN SAHARA,WESTERN SAHARA,7370
YEMEN,YEMEN,5210
ZAMBIA,ZAMBIA,7940
ZIMBABWE,ZIMBABWE,7960
